product,customer_name,rating,comment
OnePlus12,Anonymous,N/A,"Add to CompareOnePlus 13 (Midnight Ocean, 256 GB)4.5607 Ratings&49 Reviews12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase₹59,337₹72,99918% offOnly 1 leftUpto₹47,900Off on Exchange"
OnePlus12,Anonymous,N/A,"Add to CompareOnePlus 13 (Arctic Dawn, 256 GB)4.5607 Ratings&49 Reviews12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Display50MP Rear Camera6000 mAh Battery1 year in handset and 6 months in accessories₹59,476₹72,99918% offOnly 5 leftUpto₹47,900Off on Exchange"
OnePlus12,Anonymous,N/A,"Currently unavailableAdd to CompareOnePlus 12R (Iron Gray, 256 GB)4.57,807 Ratings&485 Reviews8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase₹33,475₹42,99922% offBank Offer"
OnePlus12,Anonymous,N/A,"Currently unavailableAdd to CompareOnePlus 12R (Iron Grey, 256 GB)4.54,672 Ratings&283 Reviews16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty₹38,490₹45,99916% offBank Offer"
OnePlus12,Anonymous,N/A,"Add to CompareOnePlus 13 (Black Eclipse, 256 GB)4.5607 Ratings&49 Reviews12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase₹59,385₹72,99918% offOnly 3 leftUpto₹47,900Off on Exchange"
OnePlus12,Anonymous,N/A,"Currently unavailableAdd to CompareOnePlus 12R (Cool Blue, 256 GB)4.54,672 Ratings&283 Reviews16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty₹38,040₹45,99917% offBank Offer"
OnePlus12,Anonymous,N/A,"Add to CompareSAREGAMA Carvaan1 Mobile Hindi Don M12 with 1000 Pre-Loaded Songs3.544 Ratings&2 Reviews32 MB RAM | 1.3 GB ROM4.57 cm (1.8 inch) Display800 mAh Battery12 months warranty against manufacturing defects₹999₹1,79944% offOnly few leftBank Offer"
OnePlus12,Anonymous,N/A,"Add to CompareJio Bharat V4 JBV191M2 4G UPI Phone3.8401 Ratings&33 Reviews36 MB RAM | 36 MB ROM | Expandable Upto 128 GB4.5 cm (1.77 inch) QVGA Display0.3MP Rear Camera | 0MP Front Camera1000 mAh BatteryNA Processor1 Year Manufacturer Warranty₹749₹1,74957% offOnly few leftBank Offer"
OnePlus12,Anonymous,N/A,"Add to CompareMOTOROLA Moto A3004.1816 Ratings&39 Reviews4 MB RAM | 32 MB ROM | Expandable Upto 64 GB5.08 cm (2 inch) HVGA Display1.3MP + 0MP | 0MP Front Camera1000 mAh BatteryMtk Processor2 Years Domestic Replacement Warranty₹1,329₹1,69921% offBank Offer"
OnePlus12,Anonymous,N/A,"Add to CompareJio JioBharat V4 4G3.83,966 Ratings&230 Reviews20 MB RAM | 36 MB ROM4.5 cm (1.77 inch) Display0.3MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty₹732₹1,79959% offSuper DealsOnly few left"
OnePlus12,Anonymous,N/A,Add to CompareJmax PI337 Ratings&4 Reviews32 MB RAM | 32 MB ROM3.66 cm (1.44 inch) NA Display0.3MP Rear Camera1000 mAh Battery3 Month Manufacturer Warranty₹699₹99930% offOnly few leftBank Offer
OnePlus12,Anonymous,N/A,Page 1 of 9312345678910Next
OnePlus12,Anonymous,N/A,Did you find what you were looking for?YesNo
OnePlus12,Anonymous,N/A,"4. OnePlus 12 (Glacial White, ...4.61,487 Ratings&116 Reviews₹44,69831% off12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear CameraMost Helpful Review5Terrific2 day using review.Camera was awesome. Mind blowing portrait pictures. Night mode was natural. I'm using normal usage for 2 days. Still battery 23% left. W...Read full reviewNantha KumarCertified BuyerFeb, 2024Recent Review5TerrificJust outstanding phone everRead full reviewSwapnil ShindeCertified Buyer6 days ago"
OnePlus12,Anonymous,N/A,N/A
